symbol,meaning,meaning_source,confidence,occurrence_count,id_count,sample_ids,sample_titles,sample_context,wolfram_symbol
fold,vacuum-sector quantity,context_rule,low,85,68,ID0178; ID0182; ID0197; ID0229; ID1302; ID1305; ID1543; ID1818; ID1862; ID1876; ID3293; ID3294; ID3295; ID3425; ID3430; ID3476; ID3480; ID3481; ID3717; ID4180,Symmetry Reduction and Metric Recovery | Topological Quantization of Charge and Spin | Vacuum Gauge Symmetry and Discrete Charge | Disharmonic Fold Operator | Symmetry Reduction and Metric Recovery,Symmetry Reduction and Metric Recovery \pi_* g = g_{\mathrm{red}} || \mathcal{G}_{\mathrm{red}} = \mathcal{G}/\!\sim,fold
their,vacuum-sector quantity,context_rule,low,85,78,ID0054; ID0059; ID0064; ID0071; ID0083; ID0387; ID0412; ID0416; ID0949; ID1173; ID1450; ID1470; ID1543; ID1818; ID1825; ID1853; ID1897; ID1939; ID2318; ID2750,Mode Quantization in Confined Geometries | Scale Dependence of Physical Constants | Observer-Dependent Quantum States | Qubit Manifold Embedding | TZP Constraints at Quantum Scale,Mode Quantization in Confined Geometries -\Delta_{\mathrm{T}}\phi_{n} = \lambda_{n}\phi_{n} || \omega_{n}^{2} = \lambda_{n} + m^{2},their
Θ,curvature/geometric quantity depending on context,context_rule,low,85,61,ID1487; ID1608; ID2189; ID2213; ID2254; ID2658; ID3718; ID3973; ID4023; ID4274; ID4277; ID4414; ID4459; ID4629; ID4630; ID4858; ID5517; ID5604; ID5614; ID5615,Causal Torsion Potential | Differential Equation for Θ⋅dℓw | Relation: Θ | Relation: Θ | Relation: Θ,"Causal Torsion Potential \CurvatureFlow=\oint_{\partial\DAANSsphere}\Theta(\mathbb{R}^{3},\tau)\cdot\hat{\Omega}",Theta
Stress,vacuum-sector quantity,context_rule,low,84,82,ID0150; ID0151; ID0152; ID0153; ID0195; ID0401; ID0421; ID0514; ID0649; ID1309; ID1332; ID1337; ID1424; ID1486; ID1955; ID2999; ID3298; ID3457; ID3502; ID3506,Stress–Energy Conservation Constraint | Vacuum Stress–Energy Contribution | Matter Stress–Energy Contribution | Gravitational Stress–Energy Contribution | Stress–Energy Coherence Condition,Stress–Energy Conservation Constraint T_{\mathrm{total}}^{\mu\nu} = T_{\mathrm{vacuum}}^{\mu\nu} +T_{\mathrm{matter}}^{\mu\nu} +T_{\mathrm{grav}}^{\mu\nu} || \nabla_{\nu}T_{\mathrm{total}}^{\mu\nu}=0 || G_{\mu\nu}+\Lambda g_{\mu\nu} = \frac,Stress
Unified,"Hamiltonian, energy, or field strength depending on context",context_rule,low,84,80,ID0166; ID0167; ID0169; ID0179; ID0216; ID0331; ID0352; ID0364; ID0393; ID0492; ID0522; ID0555; ID0582; ID0736; ID0764; ID0826; ID0847; ID0958; ID1055; ID1205,Unified Geometry and K\ahler Manifold | Unified Field Equation (Einstein–Yang–Mills–Quantum) | Topological Unification vs Force Unification | Unified Action and Stationarity | Unified Propulsion Field Definition,"Unified Geometry and K\ahler Manifold \mathcal{G}_{\mathrm{unif}}=(g,\Omega_{\mathrm{B}},J) || \Omega_{\mathrm{B}}(X,Y)=g(JX,Y) || \operatorname{Hol}(\mathcal{G}_{\mathrm{unif}})\subseteq U(n)",Unified
corresponds,"Hamiltonian, energy, or field strength depending on context",context_rule,low,84,78,ID0225; ID0312; ID0347; ID0359; ID1816; ID2177; ID2201; ID2351; ID3326; ID3327; ID3328; ID3329; ID3360; ID3361; ID3687; ID3688; ID5587; ID6162; ID6298; ID6299,Betti Curve Entropy | Scale Invariance of Recursive Toroidal Encoding | Quantum Neural Cartography Trajectory Mapping | Uniform Base Manifold | Matter Is the Memory of Space,Betti Curve Entropy \beta_k(\epsilon)=\operatorname{rank}H_k(X_{\epsilon}) || p_i=\frac{|\Delta\beta_i|}{\sum_j|\Delta\beta_j|},corresponds
group,"Hamiltonian, energy, or field strength depending on context",context_rule,low,84,76,ID0005; ID0069; ID0176; ID0292; ID0465; ID0634; ID0866; ID0978; ID0988; ID1001; ID1063; ID1205; ID1240; ID1698; ID1833; ID1907; ID3369; ID3370; ID3840; ID4268,TZP Stability Under Symmetry-Preserving Diffeomorphisms | Spinor and Spin-Network Representations | Berry Phase and Quantum Transport | Simplicial and Homological Entropy | Topological Error Correction Codes,"TZP Stability Under Symmetry-Preserving Diffeomorphisms \phi : M \to M, \qquad \phi(p)=p || \phi(\Lambda)=\Lambda",group
include,vacuum-sector quantity,context_rule,low,84,63,ID0053; ID0075; ID0143; ID0387; ID1225; ID1583; ID1916; ID1938; ID2525; ID3578; ID3673; ID5596; ID5764; ID6427; ID6428; ID6429; ID6479; ID6511; ID6512; ID6513,Quantum Harmonic Oscillator (TZP-Modified) | Quantum Thermodynamics | Spin–Orbit Resonance Proposition | Triple Resonance Domain Condition | Ancient Mesopotamian Gods and Goddesses Utu,"Quantum Harmonic Oscillator (TZP-Modified) H = \frac{p^{2}}{2m} + \frac{1}{2}m\omega^{2}q^{2} + \delta H || \left[a,a^{\dagger}\right] = 1",include
perturbation,vacuum-sector quantity,context_rule,low,84,75,ID0311; ID0404; ID0408; ID0427; ID0946; ID1051; ID1952; ID3285; ID3286; ID3287; ID3288; ID3349; ID3350; ID3351; ID3352; ID3353; ID3609; ID6244; ID6251; ID6511,Holographic Encoding and Redundancy | The Metric Distortion Gradient | Cymatic-Vacuum Coupling | 17.2 KHz Acoustic Carrier Synchronization | The Quark-Gluon Plasma Residue Operator,"Holographic Encoding and Redundancy \mathcal{E}:\mathcal{H}_{\mathrm{bulk}}\longrightarrow \mathcal{H}_{\partial} || S_{\mathrm{bulk}}\leq \frac{A(\partial\Omega)}{4G\hbar}, \qquad \mathcal{R}_{\partial}\geq \mathcal{R}_{\mathrm{bulk}}",perturbation
rvert,curvature/geometric quantity depending on context,context_rule,low,84,52,ID0006; ID0009; ID0043; ID0061; ID0078; ID0106; ID0107; ID0209; ID0257; ID0286; ID0318; ID0319; ID0387; ID0396; ID0397; ID0526; ID0981; ID1187; ID1192; ID1201,Trawin Base Unit | Hyper-Dimensional Span | Helicity Linking Number Universality | Environment-Induced Superselection | Quantum Criticality,"Trawin Base Unit u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1",rvert
three,DNA/biological-sector quantity,context_rule,low,84,79,ID0103; ID0138; ID0156; ID0215; ID0218; ID0252; ID0281; ID0333; ID0350; ID0351; ID0387; ID0389; ID0428; ID0462; ID0464; ID0481; ID0702; ID0909; ID0949; ID1201,Infinity Hopf Fibration | S^3 Universe Topology | Higher Gerbe Structure | Directional Gravity Negation Stage | Propulsion Mechanism Sequence,"Infinity Hopf Fibration h : S^3 \longrightarrow S^2 || h(z_1,z_2)=\left(2 z_1 \overline{z}_2,\ \lvert z_1\rvert^2-\lvert z_2\rvert^2\right)",three
OAM,"Hamiltonian, energy, or field strength depending on context",context_rule,low,83,58,ID0306; ID0348; ID0932; ID1076; ID1371; ID3326; ID3327; ID3332; ID3333; ID3335; ID3338; ID3339; ID3529; ID3539; ID4944; ID5162; ID5164; ID6176; ID6177; ID6182,Quantum State Space Decomposition | Quantum Tag Injection and Entanglement Tracking Protocol | Registry Source Artifact ID0932 | Hilbert-Space Dimension Count | Quantum Tag Injection and Entanglement Tracking Protocol,Quantum State Space Decomposition \Phi_Q:\mathbf{SpinRep}\to\mathbf{Hilb} || \Phi_Q(J_z)=\bigoplus_{m=-j}^{j}H_m,OAM
chi_T,"Hamiltonian, energy, or field strength depending on context",context_rule,low,83,57,ID0356; ID0357; ID0380; ID0565; ID0566; ID0567; ID0582; ID0947; ID0954; ID1151; ID1310; ID1459; ID2119; ID2126; ID2128; ID2157; ID2322; ID2418; ID2434; ID2436,Encoding–Decoding Adjunction | Fibonacci Sphere Parametrisation | Induced Vector Potential Term | The Neutrino Ghost-Field Mapping | The Neutron-Flux Parity Operator,Encoding–Decoding Adjunction epsilon_T = \epsilon_0 \cdot \exp\left( \frac{\alpha_T}{\chi_T} \cdot \frac{V(\phi)}{P_T} \right) \equiv \frac{1}{\mu_0 c_{\text{eff}}^2(r)} || epsilon_T = \epsilon_0 \cdot \exp\left( \frac{\alpha_T}{\chi_T} \cd,chi_T
couples,"Hamiltonian, energy, or field strength depending on context",context_rule,low,83,81,ID0247; ID0248; ID0393; ID0958; ID1055; ID1243; ID1533; ID1753; ID1848; ID1914; ID1918; ID1922; ID1924; ID1952; ID3285; ID3286; ID3287; ID3288; ID3484; ID3671,Cymatic Resonance Control at 432 Hz | Furiene–TZP Energy Extraction Protocol | Unified Trawin Hamiltonian | Unified Operator Action | Unified Operator Action,"Cymatic Resonance Control at 432 Hz \hat{\mathcal{H}}_{\mathrm{cym}}=\int_{\Omega}\hat{\rho}\Phi_{\mathrm{ac}}\,d^3r || \omega=2\pi(432\,\mathrm{Hz})",couples
fraction,vacuum-sector quantity,context_rule,low,83,75,ID0141; ID1244; ID1924; ID1928; ID1933; ID2025; ID2273; ID3495; ID3496; ID6952; ID6956; ID6957; ID6958; ID6959; ID6960; ID6961; ID6962; ID6963; ID6964; ID6965,Kuramoto Dominant Coupling Hypothesis | EID_0522 Hamiltonian Operator Source | EID_0522 Hamiltonian Operator Source | EID_0850 Quantum Manifold Source | EID_0905 Equation Source,Kuramoto Dominant Coupling Hypothesis \chi_{\max}=\frac{A_{\max}}{\sum_{i<j}A_{ij}} || \chi_{\max}<\chi_{\mathrm{crit}} \;\Longrightarrow\; r_{\mathrm{global}}\ll 1 || r_{\mathrm{cluster}}>r_{\mathrm{global}},fraction
initial,vacuum-sector quantity,context_rule,low,83,76,ID0037; ID0079; ID0222; ID0498; ID0500; ID1279; ID1945; ID1947; ID3540; ID3545; ID3900; ID4388; ID5959; ID6228; ID6229; ID6230; ID6246; ID6247; ID6248; ID6249,Emergent Rotation Principle | Quantum Chaos Indicators | Berry Phase of Quantum Rotation | Final Technical Roadmap Review | Self-Sustaining Dynamo Ignition,"Emergent Rotation Principle L = \int_{V} \bigl( \mathbf{r}\times\mathbf{J} \bigr)\,d^{3}x || \frac{dL}{dt} = \int_{V} \bigl( \mathbf{J}\times\mathbf{B} \bigr)\,d^{3}x",initial
locking,vacuum-sector quantity,context_rule,low,83,65,ID0120; ID0413; ID0422; ID0473; ID0483; ID0902; ID0935; ID0946; ID0949; ID1051; ID1503; ID1595; ID1694; ID1756; ID1836; ID1939; ID1947; ID2409; ID2415; ID3496,Planetary Spin–Orbit Oscillator Model | The Cooper Pair Transduction Operator | High-Mu Ferrite Core Composition \& Saturation Limits | Meditation Convergence Fixed-Points | Pontryagin'S Maximum Principle Control,Planetary Spin–Orbit Oscillator Model \dot{\theta}_i = \Omega_i \;+\; \frac{K_s}{N}\sum_{j=1}^{N}\sin(\theta_j-\theta_i) \;+\; \lambda_i\sin(\phi_i-\theta_i) || \dot{\phi}_i = \nu_i \;+\; \frac{K_o}{N}\sum_{j=1}^{N}\sin(\phi_j-\phi_i) || X_,locking
product,DNA/biological-sector quantity,context_rule,low,83,81,ID0044; ID0158; ID0212; ID0235; ID0242; ID0250; ID0321; ID0365; ID0378; ID0391; ID0695; ID0960; ID1264; ID1324; ID1357; ID1712; ID1715; ID1805; ID1961; ID2262,(μ ∝ M R^2Ω) Universal Scaling Law | TZP Bifurcation Functor | Gyromagnetic Bessel Interference Operator | Observed Helicity Scaling | Universal Helicity Number,"(μ ∝ M R^2Ω) Universal Scaling Law \mu = k\,M R^{2}\Omega || k \approx \mathrm{const.}",product
Π,vacuum-sector quantity,context_rule,low,83,56,ID0112; ID0114; ID0239; ID0246; ID0286; ID1271; ID1925; ID2114; ID2118; ID2333; ID2350; ID3380; ID3385; ID3633; ID3739; ID3773; ID3851; ID4117; ID4119; ID4121,Π–φ Structural Fusion | Π–φ Coupling Principle | Buckingham Π-Theorem Application | Π-Kissing Topology | Π-Kissing Topology for Coherence,Π–φ Structural Fusion \beta = \frac{2\log \phi}{\pi} || \lambda = \beta^{-1} = \frac{\pi}{2\log \phi} || \mathcal{E}'(\beta)=0,PiCarrier
Coherence,DNA/biological-sector quantity,context_rule,low,82,71,ID0012; ID0060; ID0106; ID0117; ID0168; ID0183; ID0195; ID0233; ID0286; ID0432; ID0447; ID0455; ID0476; ID0491; ID0511; ID0609; ID0930; ID1126; ID1209; ID1238,Field Coherence Metric | Quantum Coherence and Decoherence | Phase-Coherence Matrix | Spin-Coherence Order Parameter | Field Strength Coherence Condition at TZP,"Field Coherence Metric C(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} {\|\phi_{1}\|\,\|\phi_{2}\|} || \|\phi\| = \sqrt{\langle \phi,\phi\rangle}",Coherence
N_k,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,82,30,ID3473; ID6601; ID6602; ID6603; ID6604; ID6605; ID6606; ID6607; ID6608; ID6609; ID6610; ID6611; ID6612; ID6613; ID6614; ID6615; ID6619; ID6620; ID6621; ID6622,Local Displacement Field | Kissing-Geometry IFS on the Sphere (Algorithmic Description): s_k | Kissing-Geometry IFS on the Sphere (Algorithmic Description): N_k | Kissing-Geometry IFS on the Sphere (Algorithmic Description): >S | Kissing-Geometry IFS on the Sphere (Algorithmic Description): N(s) ∼ s^-D,Local Displacement Field \[ D_{\mathrm{local}} = \lim_{k\to\infty} \frac{\log(N_0 N_1\cdots N_{k-1})}{- \log (r^k)}. \],N_k
Omega_i,"frequency, winding, or angular quantity",context_rule,low,82,68,ID0120; ID1069; ID1795; ID2140; ID3432; ID3462; ID3781; ID3785; ID3786; ID3787; ID3788; ID3802; ID3804; ID3975; ID4025; ID4465; ID4599; ID5117; ID5535; ID5536,Planetary Spin–Orbit Oscillator Model | Nodal Mass Operator | Series Expansion of φ_i | Chat Session 4efd22d8 49f4 4a21 9a69 c78d502 | Full Spectral Gap Laplacian Operator,Planetary Spin–Orbit Oscillator Model \dot{\theta}_i = \Omega_i \;+\; \frac{K_s}{N}\sum_{j=1}^{N}\sin(\theta_j-\theta_i) \;+\; \lambda_i\sin(\phi_i-\theta_i) || \dot{\phi}_i = \nu_i \;+\; \frac{K_o}{N}\sum_{j=1}^{N}\sin(\phi_j-\phi_i) || X_,Omega_i
S^1,DNA/biological-sector quantity,context_rule,low,82,44,ID0113; ID0138; ID0310; ID0373; ID0602; ID1376; ID1959; ID2046; ID2106; ID2198; ID2279; ID2281; ID2384; ID2731; ID2774; ID3288; ID3289; ID3290; ID3320; ID3626,Helical Spacetime Embedding Axiom | S^3 Universe Topology | Recursive Toroidal Fiber Bundle | Nested Toroidal Loop Structure | Information Density Tracking,"Helical Spacetime Embedding Axiom M_{\mathrm{helix}} = S^1 \times \mathbb{R} || \gamma(\theta)= \left( a e^{\beta \theta}\cos\theta,\ a e^{\beta \theta}\sin\theta,\ c\theta \right) || \beta = \frac{2\log \phi}{\pi}",S^1
bound,"Hamiltonian, energy, or field strength depending on context",context_rule,low,82,77,ID0079; ID0399; ID0429; ID0457; ID0460; ID0468; ID0740; ID1550; ID1827; ID2072; ID3343; ID3344; ID3345; ID3363; ID3364; ID3535; ID3536; ID3581; ID3690; ID5751,Quantum Chaos Indicators | Information Conservation and Holographic Preservation | Berry Phase Tomography \& Atemporal Readout | Resonance Hold-State Maintenance | Temporal Channel Data Gating,"Quantum Chaos Indicators F(t) = \left\langle \left[W(t),V(0)\right]^{\dagger} \left[W(t),V(0)\right] \right\rangle || F(t) \sim e^{\lambda_{\mathrm{L}} t}",bound
channels,"Hamiltonian, energy, or field strength depending on context",context_rule,low,82,74,ID0073; ID0102; ID0122; ID0192; ID0330; ID0333; ID0349; ID0350; ID0396; ID0413; ID0427; ID0428; ID0432; ID0443; ID0447; ID0467; ID0477; ID0481; ID0487; ID0492,Quantum Channels and Maps | Topologically Protected Information Channels | Cross Symmetry Vortex Focusing | Information Synchronization and Energy Extraction Duality | Trawin Zero Point Singularity Conditions,Quantum Channels and Maps \mathcal{E}:\rho \mapsto \mathcal{E}(\rho) || \mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger},channels
differential,"Hamiltonian, energy, or field strength depending on context",context_rule,low,82,72,ID0276; ID0370; ID0391; ID0500; ID0763; ID0938; ID0973; ID1060; ID1253; ID1343; ID1436; ID1574; ID1657; ID1834; ID1836; ID1861; ID1899; ID1944; ID2315; ID3324,Differential Rotation Ubiquity | Cohomological Decomposition Operator | Information Geometry Metric | Self-Sustaining Dynamo Ignition | Tzp Differential Navigation Operator,Differential Rotation Ubiquity partial_r \Omega eq 0 || Delta \Omega = \Omega_{\mathrm{inner}} - \Omega_{\mathrm{outer}},differential
light,vacuum-sector quantity,context_rule,low,82,61,ID0128; ID0129; ID0228; ID0510; ID1293; ID1294; ID1593; ID1719; ID1808; ID1816; ID1845; ID1853; ID1939; ID2041; ID2045; ID2177; ID2725; ID2730; ID3324; ID3394,Optical Electrostriction Effect | Chromatic Ion Sorting | Hyperspherical Zero-Point Vacuum Axiom | The Cymatic Modulation Semigroup | Optical Electrostriction Effect,"Optical Electrostriction Effect \Delta \rho = \rho_0 \left(\frac{\partial \epsilon}{\partial \rho}\right) E^2 \left(\frac{I}{c}\right), || \Delta \rho = \rho_0\left(\frac{\partial \epsilon}{\partial \rho}\right)E^2\left(\frac{I}{c}\right) |",light
meta,"Hamiltonian, energy, or field strength depending on context",context_rule,low,82,47,ID0336; ID0337; ID0338; ID0522; ID0532; ID0972; ID1657; ID1845; ID2083; ID2286; ID2295; ID2432; ID3744; ID4394; ID4395; ID4403; ID4404; ID4493; ID5092; ID8999,Metamaterial–Neural Flow Isomorphism | Heterogeneous Metamaterial Distribution Operator | Static Strong-Field Meta-Bit Hamiltonian | The Unified Entanglement Meta-Theorem | Micro Double-Helix Metamaterial Design,Metamaterial–Neural Flow Isomorphism P_{\mathrm{meta}}(s)\sim s^{-\tau} || P_{\mathrm{neuro}}(s)\sim s^{-\tau},meta
nlm,"Hamiltonian, energy, or field strength depending on context",context_rule,low,82,27,ID0508; ID0509; ID2987; ID2988; ID3306; ID3307; ID3308; ID3309; ID3310; ID3378; ID3612; ID3878; ID3880; ID3881; ID3882; ID3883; ID3888; ID4701; ID4702; ID4703,Hi-Mu Ferrite Sphere Resonance | Interstellar Entanglement Addressing | Vector-Potential Multipole Expansion | Magnetic Helicity Integral | Magnetic Flux Wave Equation,Hi-Mu Ferrite Sphere Resonance \omega_{nlm}^{\mathrm{uncoupled}}= \frac{v_{\mathrm{acoustic}}}{R}\alpha_{nl}\pm m\Omega_{\mathrm{gyro}} || m'\neq 0 || \chi(\mathcal{M}_{\mathrm{ferrite}})=\chi_0+\Delta\chi_{\mu},nlm
r2,vacuum-sector quantity,context_rule,low,82,30,ID1523; ID1724; ID4958; ID4974; ID4975; ID4976; ID4990; ID4992; ID5032; ID5033; ID5034; ID5046; ID5048; ID5071; ID5986; ID9158; ID9159; ID9160; ID9161; ID9162,Constrained Opposing Dipole Configuration (2) | Constrained Opposing Dipole Configuration (2) | Holonomy Lagrangian | Exp Coherence Vacuum Relation | Exp Coherence TmatterT Matter Tmatter Defined Relation,"Constrained Opposing Dipole Configuration (2) $0, oriented along the zzz-axis but with opposite direction, are located at r1=(0,0,-d/2)r\_1=(0,0,-d/2)r1=(0,0,-d/2) and r2=(0,0,d/2)r\_2=(0,0,d/2)r2=(0,0,d/2). The field produced by a single d",r2
r_i,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,82,40,ID0359; ID0496; ID0497; ID1082; ID1236; ID1797; ID1799; ID2049; ID2201; ID2212; ID2275; ID2734; ID2757; ID2775; ID3660; ID3783; ID3790; ID3791; ID3792; ID3797,"Uniform Base Manifold | Experimental Stability Envelope | Project Scope Persistency Log | Proton-GATED Manifold Operator (hatH_p-Gate) | Definition of p_i,k","Uniform Base Manifold K_{fractal}(\hat{\mathbf{n}}) = \sum_{k=1}^{\infty} s^{-k} G(\hat{\mathbf{n}}, r \cdot s^k) e^{i\phi_k} || r_{i,k} = \exp(t_{i,k})",r_i
A_m,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,81,32,ID0101; ID0904; ID2410; ID3482; ID6719; ID6720; ID6721; ID6722; ID6723; ID6724; ID6725; ID6726; ID6727; ID6743; ID6744; ID6745; ID6746; ID6750; ID6753; ID6768,"Helical Standing-Wave Amplification | Derivative of Dimensional Drift | Derivative of Dimensional Drift | Magnetization Expansion | Practical Measurement Algorithm You Can Run on Any Image (No EXIF Needed): I(r,φ)","Helical Standing-Wave Amplification A_m(\theta,t)=A_0 e^{i(m\theta-\omega_m t)} || \omega_m = \frac{m v_h}{R_h}, \qquad \operatorname{Wind}_{\mathrm{TZP}}(\Gamma_m)=m",A_m
E_k,"Hamiltonian, energy, or field strength depending on context",context_rule,low,81,28,ID0347; ID0674; ID1411; ID1610; ID1968; ID2542; ID2579; ID2604; ID3363; ID3364; ID3516; ID3517; ID3518; ID3519; ID3520; ID3546; ID3690; ID6251; ID8377; ID8378,Quantum Neural Cartography Trajectory Mapping | State Preparation Pulse Sequences | Cymatic-Acoustic Coupling | Proton Recovery Kit | Trawin Zero Point Temporal Entanglement and I,Quantum Neural Cartography Trajectory Mapping E_k = \sqrt{p_k} |\psi_k^{future}\rangle \langle \psi_k^{past}| U_{CTC}(t_{present} - t_{past}) || t = np,E_k
R^3,"Hamiltonian, energy, or field strength depending on context",context_rule,low,81,43,ID0138; ID1978; ID2106; ID2132; ID2136; ID2154; ID2176; ID3389; ID3727; ID4104; ID4356; ID4378; ID4391; ID4401; ID5212; ID5502; ID5715; ID5722; ID6113; ID7218,"S^3 Universe Topology | Relation: K_p(x_1, x_2 || θ_p) : R^3× R^3→C | S^3 Universe Topology | Definition of Area(S^3_R) | Relation: R^3","S^3 Universe Topology \eta:S^3\to S^2, \qquad \mathrm{fiber}(\eta)=S^1 || \mathrm{Vol}(S^3)=2\pi^2 R^3 || t_{\mathrm{return}}=\frac{2\pi R}{c}",R^3
conserved,vacuum-sector quantity,context_rule,low,81,72,ID0011; ID0025; ID0026; ID0087; ID0092; ID0093; ID0150; ID0207; ID0266; ID0369; ID0392; ID1275; ID1289; ID1317; ID1821; ID1840; ID1845; ID2045; ID2329; ID2730,Causal Loop Invariant | Conservation Law: TZP Topological Charge | Conservation Law: Information Flux Through TZP | Rotation as a Continuously Generated Quantity | Semi-Direct Product of Rotation and Gauge Symmetry,Causal Loop Invariant I_{\mathrm{CL}} = \oint_{\Gamma} A \cdot dx || dA = 0 \quad \text{on } M \setminus \{p\},conserved
k^2,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,81,47,ID0209; ID0229; ID0280; ID2050; ID2345; ID2735; ID2999; ID3289; ID3290; ID3353; ID3354; ID3355; ID3356; ID3357; ID3358; ID3424; ID3427; ID3428; ID3429; ID3648,Mode Splitting in Frame-Dragging | Disharmonic Fold Operator | Resonant Magnetoacoustic Functor Network | Quantum Coherent Metamaterial Synthesis | Mode Splitting in Frame-Dragging,Mode Splitting in Frame-Dragging \omega_{\pm} = c_s k \pm \frac{1}{2}\lvert \omega_{\mathrm{gyro}} \times r \rvert. || omega_0^2 = c_s^2 k^2 || omega_{\pm}(k) = \omega_0(k) \pm \Omega_{\mathrm{drag}},k^2
satisfies,"Hamiltonian, energy, or field strength depending on context",context_rule,low,81,79,ID0003; ID0004; ID0031; ID0217; ID0389; ID0395; ID0500; ID0920; ID1321; ID1471; ID3304; ID3305; ID3306; ID3369; ID4199; ID4207; ID4214; ID4230; ID4700; ID4701,Dimensional Ambiguity at TZP | Metric Degeneracy Condition | Hamilton–Jacobi Equation (Trawinistic Form) | Vimana Gyromagnetic Field Implementation | Hybrid Eigenmode Spectrum,"Dimensional Ambiguity at TZP \dim_{p}(M) \in \{n-1,n,n+1\} || \Delta_{\mathrm{branch}} : \Lambda \longrightarrow \{n-1,n,n+1\}",satisfies
tau_c,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,81,61,ID0232; ID1230; ID1725; ID1766; ID2346; ID2389; ID2439; ID2528; ID2687; ID2700; ID2760; ID2873; ID3483; ID4215; ID4487; ID4488; ID4511; ID4536; ID4740; ID4880,Temporal Drag Emergence | Topological Error Correction Codes | Dual Vortex Extraction Generator | TheTemporalTransmission | Temporal Drag Emergence,"Temporal Drag Emergence \rho_{\mathrm{vac}}(t)=\rho_0\,e^{-t/\tau_c} || \mathcal{J}_{\mathrm{emerge}}(t)=-\frac{d\rho_{\mathrm{vac}}}{dt} || \rho_{\mathrm{matter}}(t)=A\left(1-e^{-t/\tau_c}\right)",tau_c
Add,curvature/geometric quantity depending on context,context_rule,low,80,67,ID1201; ID1630; ID1639; ID1683; ID3297; ID3529; ID4416; ID4651; ID5107; ID5147; ID6182; ID6183; ID6184; ID6185; ID6186; ID6187; ID6188; ID6189; ID6373; ID6427,DNA/RNA Transition Lindblad Operators Duplicate | DNA/RNA Transition Lindblad Operators | DNA/RNA Transition Lindblad Operators Duplicate | Spherical Fields | Curvature Relation,"DNA/RNA Transition Lindblad Operators Duplicate L_{\mathrm{ribose}}=\sqrt{\gamma_r}\,\lvert\mathrm{DNA}\rangle\langle\mathrm{RNA}\rvert\otimes\mathrm{Remove}(2^{\prime}\text{--OH}) L_{\mathrm{thymine}}=\sqrt{\gamma_t}\,\lvert T\rangle\langl",Add
a_i,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,80,46,ID0115; ID0249; ID2266; ID2274; ID3346; ID3347; ID3348; ID3349; ID3636; ID5563; ID5564; ID5582; ID5591; ID5637; ID5638; ID7414; ID7415; ID7416; ID7417; ID7418,Kuramoto Planetary Spin Model | Quantum Metamaterial Information Metric | Definition of K_ij | Definition of K_ij | Photon Neural Relation,Kuramoto Planetary Spin Model \dot{\theta}_i = \omega_i \;+\; \frac{K}{N}\sum_{j=1}^{N}A_{ij}\sin(\theta_j-\theta_i) || A_{ij}=\frac{\sqrt{m_i m_j}}{|a_i-a_j|} || N=8,a_i
ell^m,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,80,46,ID1328; ID3499; ID3500; ID5128; ID5670; ID5916; ID5935; ID6658; ID6732; ID6733; ID6734; ID6735; ID6736; ID6754; ID6755; ID6756; ID6777; ID6778; ID6779; ID6780,"Series Expansion of δ_trunc(r,hat N) | Quantum State Relation | Trunc Delta Expansion | Delta Functional | Phase Angle Expansion","Series Expansion of δ_trunc(r,hat N) \[ \delta_{\text{trunc}}(r,\hat n)=\sum_{(\ell,m,k)\in\mathcal{S}} \delta_{\ell m}(k)\, j_\ell(kr)\, Y_\ell^m(\hat n). \]",ell^m
m_k,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,80,32,ID1277; ID2184; ID2553; ID2555; ID2660; ID3476; ID3477; ID3480; ID3481; ID5522; ID5608; ID6675; ID6676; ID6677; ID6696; ID6697; ID6698; ID6699; ID6700; ID6705,"Holographic Metadata Closure | Series Expansion of A(ρ,φ) | Cooper Pair & Polariton Stabilization | Holographic Metadata Closure | Canonical Vocabulary Lock v1 1","Holographic Metadata Closure A(\rho,\varphi) = A_{\text{circ}}(\rho) \cdot \Big[1 + \sum_{k} \epsilon_k(\rho)\cos(m_k\varphi + \phi_k)\Big]",m_k
